Period,Manager,Team,Response
2019-Q1,Mgr 1,Team 1,"We're a fun team that works well together and is constantly learning together. We are small which allows us to move quickly and have a process with very little overhead."
2019-Q1,Mgr 1,Team 1,"we have a sound and collaborative team focused on delivery for the business under the current vision and scope for the product. As the vision and scope evolve, we will have the opportunity to expand on the value and capabilities of the product and ensure the proper process and discipline adapt accordingly"
2019-Q1,Mgr 1,Team 1,"we work well as a team, we have fun together, I think we are very healthy"
2019-Q1,Mgr 1,Team 1,"I fell pretty good about the health of our team. My main concerns re a lack of vision into what our application's true purpose is and the future direction of our team."
2019-Q1,Mgr 1,Team 1,"happy with team's overall health and good dynamics. Contrast between this team and the rest of the org is stark."
2019-Q1,Mgr 1,Team 1,"Solid"
2019-Q1,Mgr 1,Team 1,"The Team 2 team is a  collaborative group producing valuable work.  We have bright and knowledgeable resources ready to deliver for the business in support of our service contract management business.  As our team matures and as our relationship and focus with the business stakeholders grow, we will be better positioned to drive further value through Team 2."
2019-Q1,Mgr 1,Team 1,"We have great teamwork.  We have a lot of fun.  We have a very passionate team.  I am very proud to be a part of this team.  ProjectX has impacted overall organization process and impeded our agile transformation as an organization."
2019-Q1,Mgr 1,Team 1,"We feel good about our teamwork, process, tech quality, knowledge sharing and enjoy working together.  We look to improve defining our mission and roadmap and working with other IT teams to better support our needs."
2019-Q1,Mgr 1,Team 2,"A blast!  Always working towards delivering more value.  Want to get work done faster.  Continue building our relationship with our stakeholders."
2019-Q1,Mgr 1,Team 2,"Great team work, lots of fun, joking, makes work bearable.  Options for learning."
2019-Q1,Mgr 1,Team 2,"Efficient and collaborative.  Excited to work together.  Quick to jump in."
2019-Q1,Mgr 1,Team 2,"Collaborative team.  Open to new ideas and processes.  Great Attitude.  Caring, Team wants to be valuable to Acme Corp. Willing to improve."
2019-Q1,Mgr 1,Team 2,"Need some improvements.  It's doing good in many dimensions."
2019-Q1,Mgr 1,Team 2,"Overall we do a great job.  Keep doing and delivering awesome stuff."
2019-Q1,Mgr 1,Team 2,"Team 3 team provides great value to our stakeholders.  Works well together.  Timber has too many limitations.  Process holds us back."
2019-Q1,Mgr 1,Team 2,"The Team 3 team is cohesive, professional and fun to work with."
2019-Q1,Mgr 1,Team 3,"Where we can control the outcome, looks super positive.  It seems like where we depend on others is where we can't control our destiny and things get negative."
2019-Q1,Mgr 1,Team 3,"I feel that our team health is strong overall."
2019-Q1,Mgr 1,Team 3,"We have a strong, productive, quick, trusting team.  However, we need more breathing room to decompress after largely completing R1."
2019-Q1,Mgr 1,Team 3,"I think our team is strong, willing and smart. Constantly evolving and trying to get better. Collaborative and fun and kind."
2019-Q1,Mgr 1,Team 3,"Team is too big, progress can be sluggish.  People should be better aligned to their skill sets.  Bringing whole team to every meeting is slowing us down."
2019-Q1,Mgr 1,Team 3,"Overall, we are doing a great job!  Our teamwork is 100% green.  We trust each other and have faith in our technical skills.  We need to work on making time outside of innovation time.  ProjectX is a huge weight on our yellow responses.  Collaborative, trust, support needed, pawns."
2019-Q1,Mgr 1,Team 3,"Overall there is uncertainty on the team because we have experienced major people changes in the last few months. People are anxious about the future and how everyone will work together. We're staying positive, but also aware that more changes are coming."
2019-Q1,Mgr 1,Team 4,"good health. Seems to be trending in positive direction"
2019-Q1,Mgr 1,Team 4,"our team as always is strong. Our issues are directly affected by outside influences - stakeholders, IT in general, leadership, other teams, and time. This team is the core piece of what I value at Acme Corp."
2019-Q1,Mgr 1,Team 4,"overall good health. We have a strong PO that helps keep the focus on stakeholder priorities and setting the right expectations We've had some turnover which is challenging but our team is strong and I'm really glad to be a part of it."
2019-Q1,Mgr 1,Team 4,"our team health is good - we are open, honest and trusting. We learn and grow together and give amazing constructive feedback. We put out a substantial amount of work that our stakeholders enjoy."
2019-Q1,Mgr 1,Team 4,"All is good!"
2019-Q1,Mgr 1,Team 4,"Everything is pretty good."
2019-Q1,Mgr 2,Team 5,"We are fun! We learn! We have problems with support!"
2019-Q1,Mgr 2,Team 5,"I am really proud of my team and would feel comfortable leaving it if I had to knowing they'd be A-OK. (I don't want to leave)"
2019-Q1,Mgr 2,Team 5,"I'm very proud to be part of this team and we work well as a TEAM!"
2019-Q1,Mgr 2,Team 5,"I feel good about our team health.  Operations and deployments have room for automation.  Stakeholder relationships are a big factor in team health.  Three week sprints enable higher quality."
2019-Q1,Mgr 2,Team 5,"We are awesome! Other teams are holding us back."
2019-Q1,Mgr 2,Team 5,"I feel great about the team, our collaboration, and the future"
2019-Q1,Mgr 2,Team 5,"We are at a point of exceptional opportunity to go out there and deliver true business value for external users and internal users. Our vision for this product needs clarity along with the process definition of value needs improvement. But we are in good steed overall."
2019-Q1,Mgr 2,Team 5,"we are a strong team in the forming stage of creating capability groups. I believe we'll have a productive and valuable 2019."
2019-Q1,Mgr 2,Team 5,"good overall. Feels like we talk about the same things repeatedly and often beat ideas to death"
2019-Q1,Mgr 2,Team 6,"I feel like we're fairly healthy, there is lots of room for improvement however we have a good direction forward. A lot of the pains and yellows we fell have to do with the changing team structure /PO's"
2019-Q1,Mgr 2,Team 6,"we continue to suffer from a poor relationship with the business and lack of product vision, Our team gets along well and has a shared vision"
2019-Q1,Mgr 2,Team 6,"we have some things to work on so it is great that we have these meetings to help identify some of those key areas"
2019-Q1,Mgr 2,Team 6,"confident in the progress we are making. Still work to be done. Significant improvements"
2019-Q1,Mgr 2,Team 6,"Our team health is very good, it seems the health of the organization is bad"
2019-Q1,Mgr 2,Team 6,"I feel good about overall health of the team, except some external things which impact the products, such as ProjectX"
2019-Q1,Mgr 2,Team 6,"We are at the very beginning of a long path but we are aligned and in it together"
2019-Q1,Mgr 2,Team 6,"I feel our team health is really good. Outside the team is needing work."
2019-Q1,Mgr 2,Team 6,"Within the team we are healthy. We cooperate and provide each other accountability and an avenue for improvement. Outside of the team I feel like we are not valued and that lack of value bleeds into many of the dimensions."
2019-Q1,Mgr 3,Team 7,"Positive mindset, willingness to help one another, eager to learn and grow,. Many challenges to overcome outside of our team to empower us to get to where we need to be."
2019-Q1,Mgr 3,Team 7,"Better than the last few - ProjectX impacts pretty much all of our work and the communication, processes and support are not working well. Needs improvement as MDM feels like an afterthought"
2019-Q2,Mgr 1,Team 1,"Good."
2019-Q2,Mgr 1,Team 1,"Team health is strong. I'm not sure workshop drives additional results for healthy teams."
2019-Q2,Mgr 1,Team 1,"I think the InfoSec team is more united than the previous six months. While without challenges and disagreements the team continues to push forward."
2019-Q2,Mgr 1,Team 1,"Good overall. Happy with the team. I still find it silly that InfoSec is in Operations."
2019-Q2,Mgr 1,Team 1,"I feel like the team is getting better at working together."
2019-Q2,Mgr 1,Team 1,"I feel good about our team health and the discussion was very helpful in understanding our way ahead."
2019-Q2,Mgr 1,Team 1,"Overall, I believe that the InfoSec team is progressing in the right direction. During the team health we voted at least 4+ green categories which indicates that we have shared beliefs and perspectives."
2019-Q2,Mgr 1,Team 2,"I feel the team is in a great place from a health standpoint. I enjoy working with all the members of the team."
2019-Q2,Mgr 1,Team 2,"I think Acme Corp's InfoSec team works well. We are in a good place."
2019-Q2,Mgr 1,Team 2,"Unique"
2019-Q2,Mgr 1,Team 2,"Siloed.  Fun"
2019-Q2,Mgr 1,Team 2,"Very good.  No one gets totally hung up on issues and most importantly are here for each other first and themselves second."
2019-Q2,Mgr 1,Team 2,"The team has a lot of fun and is self aware of our overall health"
2019-Q2,Mgr 1,Team 2,"I believe that we are moving in the wrong direction.  Things are not great and there is room for improvement in nearly every area."
2019-Q2,Mgr 1,Team 3,"We are doing our best with the things we are in control of"
2019-Q2,Mgr 1,Team 3,"Green! I love seeing how much we're on the same page. We have a strong, empowered, cross-functional team and we all share a common vision. I'm looking forward to the future!"
2019-Q2,Mgr 1,Team 3,"I believe this is the healthiest team I have ever been a part of. We have found the process in which we work best. We all enjoy working with each other. I believe the reorg has been a success with this team."
2019-Q2,Mgr 1,Team 3,"I feel our team is in a great position with team health. As a team we are open and discuss issues as soon as they arise."
2019-Q2,Mgr 1,Team 3,"I was not surprised by any of the results.  We trust each other and have great teamwork.  We back each other up and support one another."
2019-Q2,Mgr 1,Team 3,"Our team has a lot of internal trust with really strong collaboration.  Many times we can be slow to release due to dependencies of other teams. "
2019-Q2,Mgr 1,Team 3,"Overall, I believe the team health for the Service Desk Leadership team is in good shape.  We have room for improvment in some areas. "
2019-Q2,Mgr 1,Team 4,"I feel like the team health of the Service Desk Leadership Team is very good.  We have a high level of trust between the people in the group and are sensitive to each other needs as far as the daily work goes.  We definitely have fun together also"
2019-Q2,Mgr 1,Team 4,"We are a fun team that works well together.  We are siloed into our areas of focus with little broaching opportunities.  We have problems with technical debt and standardizing.  Customer feedback is difficult."
2019-Q2,Mgr 1,Team 4,"I would like to see better teamwork scores.  Incorporating the AS guys better would be great."
2019-Q2,Mgr 1,Team 4,"Great team to work with and any issues already have plans in place to fix."
2019-Q2,Mgr 1,Team 4,"Team is in good shape.  The addition of new team members with job responsibilities outside of role has added tension to some of the aspects of the team health.  Overall I feel good that the team will move through the transition and be a better team.  By taking some actions that we identified we can continue the awesome."
2019-Q2,Mgr 1,Team 4,"As a whole, I feel our team health is green because of the positive teamwork environment and the comradery of the team members."
2019-Q2,Mgr 1,Team 4,"On the upward trend.  Took a dip.  Moral is low.  Lots of action ideas generated.  Some team members are not comfortable sharing."
2019-Q2,Mgr 2,Team 5,"I feel like the team is doing good overall.  We have some areas that we need to focus on after adding additional head count.  The team will continue to get better the more time we spend together. "
2019-Q2,Mgr 2,Team 5,"I think we are healthy"
2019-Q2,Mgr 2,Team 5,"Our team's health is very good. We are open to discussing difficult topics are willing to work through them."
2019-Q2,Mgr 2,Team 5,"Overall, I think we have a healthy team. There seems to be some questions within about how we work and what the mission is."
2019-Q2,Mgr 2,Team 5,"I feel very good about the open discussion we had in a couple of challenging areas. I am surprised after having done this exercise with the same team many times to get into new areas and raise things to discuss."
2019-Q2,Mgr 2,Team 5,"I think this team has generally good health. I am glad we had this session to identify areas for improvement."
2019-Q2,Mgr 2,Team 5,"We have some stuff to discuss on team work  but overall as a team and what we provide. I wouldn't give us a green."
2019-Q2,Mgr 2,Team 5,"Overall, I believe our team is in good shape."
2019-Q2,Mgr 2,Team 5,"This is the best team environment I have been on at Acme Corp. I have fun everyday I am here and look forward to being here. I consider my team the best in department."
2019-Q2,Mgr 2,Team 6,"The team's health has significantly increased. We work together and have a good time while doing it. We are good at executing and completing projects in a timely manner and our numbers really show it."
2019-Q2,Mgr 2,Team 6,"Overall, the team is in a much better shape today than a year ago. We are learning from each other and having fun doing so. Looking forward to the team improving."
2019-Q2,Mgr 2,Team 6,"I feel great about where we are. The team is strong as I've seen it. the team is a lot of fun to work with and gets their stuff done!"
